Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.00923MB; Peak was 0.012966MB
Current memory usage is 0.009422MB; Peak was 0.013158MB
Current memory usage is 0.009394MB; Peak was 0.01313MB
Current memory usage is 0.015371MB; Peak was 0.019111MB
Current memory usage is 0.009087MB; Peak was 0.012843MB
Current memory usage is 0.009055MB; Peak was 0.01279MB
Current memory usage is 0.008944MB; Peak was 0.01268MB
Current memory usage is 0.008944MB; Peak was 0.01268MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008946MB; Peak was 0.012682MB
Current memory usage is 0.008944MB; Peak was 0.01268MB
Current memory usage is 0.008944MB; Peak was 0.01268MB
Current memory usage is 0.0092MB; Peak was 0.012936MB
Current memory usage is 0.009392MB; Peak was 0.013128MB
Current memory usage is 0.009392MB; Peak was 0.013128MB
Current memory usage is 0.009388MB; Peak was 0.013124MB
Current memory usage is 0.008938MB; Peak was 0.012674MB
Current memory usage is 0.008938MB; Peak was 0.012674MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.009192MB; Peak was 0.012928MB
Current memory usage is 0.009384MB; Peak was 0.01312MB
Current memory usage is 0.009374MB; Peak was 0.01311MB
Current memory usage is 0.009384MB; Peak was 0.01312MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008926MB; Peak was 0.012662MB
Current memory usage is 0.008926MB; Peak was 0.012662MB
Current memory usage is 0.008926MB; Peak was 0.012662MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.009192MB; Peak was 0.012928MB
Current memory usage is 0.009382MB; Peak was 0.013118MB
Current memory usage is 0.009382MB; Peak was 0.013118MB
Current memory usage is 0.009382MB; Peak was 0.013118MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.0091MB; Peak was 0.012809MB
Current memory usage is 0.00904MB; Peak was 0.012783MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008936MB; Peak was 0.012672MB
Current memory usage is 0.008934MB; Peak was 0.01267MB
Current memory usage is 0.008934MB; Peak was 0.01267MB
Current memory usage is 0.009188MB; Peak was 0.012924MB
Current memory usage is 0.0093MB; Peak was 0.013036MB
Current memory usage is 0.0093MB; Peak was 0.013036MB
Current memory usage is 0.0093MB; Peak was 0.013036MB
Current memory usage is 0.00885MB; Peak was 0.012586MB
Current memory usage is 0.00885MB; Peak was 0.012586MB
Current memory usage is 0.00885MB; Peak was 0.012586MB
Current memory usage is 0.00885MB; Peak was 0.012586MB
Current memory usage is 0.00885MB; Peak was 0.012586MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.009108MB; Peak was 0.012844MB
Current memory usage is 0.0093MB; Peak was 0.013036MB
Current memory usage is 0.0093MB; Peak was 0.013036MB
Current memory usage is 0.00935MB; Peak was 0.013086MB
Current memory usage is 0.008854MB; Peak was 0.01259MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.008852MB; Peak was 0.012588MB
Current memory usage is 0.008854MB; Peak was 0.01259MB
Current memory usage is 0.008854MB; Peak was 0.01259MB
Current memory usage is 0.008854MB; Peak was 0.01259MB
Current memory usage is 0.00911MB; Peak was 0.012846MB
Current memory usage is 0.0093MB; Peak was 0.013036MB
Current memory usage is 0.009298MB; Peak was 0.013034MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.00856MB; Peak was 0.012232MB
Current memory usage is 0.00856MB; Peak was 0.012232MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008701MB; Peak was 0.012375MB
Current memory usage is 0.008656MB; Peak was 0.012329MB
Current memory usage is 0.008668MB; Peak was 0.012351MB
Current memory usage is 0.008814MB; Peak was 0.012486MB
Current memory usage is 0.009006MB; Peak was 0.012678MB
Current memory usage is 0.009006MB; Peak was 0.012678MB
Current memory usage is 0.009006MB; Peak was 0.012678MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008558MB; Peak was 0.01223MB
Current memory usage is 0.008454MB; Peak was 0.01219MB
Current memory usage is 0.008454MB; Peak was 0.01219MB
Current memory usage is 0.008448MB; Peak was 0.012184MB
Current memory usage is 0.008704MB; Peak was 0.01244MB
Current memory usage is 0.008896MB; Peak was 0.012632MB
Current memory usage is 0.008896MB; Peak was 0.012632MB
Current memory usage is 0.008902MB; Peak was 0.012638MB
Current memory usage is 0.008454MB; Peak was 0.01219MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008852MB; Peak was 0.012586MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.00908MB; Peak was 0.012814MB
Current memory usage is 0.009272MB; Peak was 0.013006MB
Current memory usage is 0.0093MB; Peak was 0.013034MB
Current memory usage is 0.009272MB; Peak was 0.013006MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.008824MB; Peak was 0.012558MB
Current memory usage is 0.00879MB; Peak was 0.012524MB
Current memory usage is 0.008891MB; Peak was 0.012659MB
Current memory usage is 0.008895MB; Peak was 0.012696MB
Current memory usage is 0.00879MB; Peak was 0.012524MB
Current memory usage is 0.009076MB; Peak was 0.01281MB
Current memory usage is 0.00924MB; Peak was 0.012974MB
Current memory usage is 0.00924MB; Peak was 0.012974MB
Current memory usage is 0.009244MB; Peak was 0.012978MB
Current memory usage is 0.008796MB; Peak was 0.01253MB
Current memory usage is 0.008794MB; Peak was 0.012528MB
Current memory usage is 0.008792MB; Peak was 0.012526MB
Current memory usage is 0.008794MB; Peak was 0.012528MB
Current memory usage is 0.008794MB; Peak was 0.012528MB
Current memory usage is 0.008792MB; Peak was 0.012526MB
Current memory usage is 0.008796MB; Peak was 0.01253MB
Current memory usage is 0.008796MB; Peak was 0.01253MB
